username,user_id,comments,post_id,likes,time,created_time
ford,215007312,48,1066023276501017997_215007312,15740,2015-10-03 01:11:33.020000,2015-09-03 17:04:59
ford,215007312,48,1066023276501017997_215007312,15740,2015-10-03 01:13:00.420000,2015-09-03 17:04:59
ford,215007312,369,1066770881946330335_215007312,13640,2015-10-03 01:11:33.020000,2015-09-04 17:50:20
ford,215007312,369,1066770881946330335_215007312,13640,2015-10-03 01:13:00.420000,2015-09-04 17:50:20
ford,215007312,120,1066903180453095164_215007312,16249,2015-10-03 01:11:33.020000,2015-09-04 22:13:11
ford,215007312,120,1066903180453095164_215007312,16249,2015-10-03 01:13:00.420000,2015-09-04 22:13:11
ford,215007312,233,1069564270710367906_215007312,16296,2015-10-03 01:11:33.020000,2015-09-08 14:20:18
ford,215007312,233,1069564270710367906_215007312,16296,2015-10-03 01:13:00.420000,2015-09-08 14:20:18
ford,215007312,147,1069661106645247169_215007312,15072,2015-10-03 01:11:33.019000,2015-09-08 17:32:42
ford,215007312,147,1069661106645247169_215007312,15072,2015-10-03 01:13:00.420000,2015-09-08 17:32:42
ford,215007312,51,1070351899546625376_215007312,13331,2015-10-03 01:11:33.019000,2015-09-09 16:25:11
ford,215007312,51,1070351899546625376_215007312,13331,2015-10-03 01:13:00.420000,2015-09-09 16:25:11
ford,215007312,259,1070464300384265398_215007312,17177,2015-10-03 01:11:33.019000,2015-09-09 20:08:30
ford,215007312,259,1070464300384265398_215007312,17177,2015-10-03 01:13:00.420000,2015-09-09 20:08:30
ford,215007312,48,1071944133295482495_215007312,11742,2015-10-03 01:11:33.019000,2015-09-11 21:08:40
ford,215007312,48,1071944133295482495_215007312,11742,2015-10-03 01:13:00.420000,2015-09-11 21:08:40
ford,215007312,247,1072448603024533283_215007312,12948,2015-10-03 01:11:33.019000,2015-09-12 13:50:57
ford,215007312,247,1072448603024533283_215007312,12948,2015-10-03 01:13:00.420000,2015-09-12 13:50:57
ford,215007312,96,1073944246096242200_215007312,16039,2015-10-03 01:11:33.019000,2015-09-14 15:22:32
ford,215007312,96,1073944246096242200_215007312,16039,2015-10-03 01:13:00.420000,2015-09-14 15:22:32
ford,215007312,66,1074106612628857874_215007312,18153,2015-10-03 01:11:33.019000,2015-09-14 20:45:07
ford,215007312,66,1074106612628857874_215007312,18153,2015-10-03 01:13:00.420000,2015-09-14 20:45:07
ford,215007312,89,1074734238666073342_215007312,14309,2015-10-03 01:11:33.019000,2015-09-15 17:32:06
ford,215007312,89,1074734238666073342_215007312,14309,2015-10-03 01:13:00.420000,2015-09-15 17:32:06
ford,215007312,93,1075358993702201215_215007312,17130,2015-10-03 01:11:33.019000,2015-09-16 14:13:23
ford,215007312,93,1075358993702201215_215007312,17130,2015-10-03 01:13:00.420000,2015-09-16 14:13:23
ford,215007312,87,1075500244556588585_215007312,16596,2015-10-03 01:11:33.019000,2015-09-16 18:54:01
ford,215007312,87,1075500244556588585_215007312,16596,2015-10-03 01:13:00.420000,2015-09-16 18:54:01
ford,215007312,112,1076124854327190841_215007312,14737,2015-10-03 01:11:33.019000,2015-09-17 15:35:01
ford,215007312,112,1076124854327190841_215007312,14737,2015-10-03 01:13:00.420000,2015-09-17 15:35:01
ford,215007312,80,1076989526018368790_215007312,15008,2015-10-03 01:11:33.019000,2015-09-18 20:12:57
ford,215007312,80,1076989526018368790_215007312,15008,2015-10-03 01:13:00.420000,2015-09-18 20:12:57
ford,215007312,153,1079109993458051043_215007312,18112,2015-10-03 01:11:33.019000,2015-09-21 18:25:57
ford,215007312,153,1079109993458051043_215007312,18112,2015-10-03 01:13:00.420000,2015-09-21 18:25:57
ford,215007312,46,1079188566411846800_215007312,13077,2015-10-03 01:11:33.019000,2015-09-21 21:02:04
ford,215007312,46,1079188566411846800_215007312,13077,2015-10-03 01:13:00.420000,2015-09-21 21:02:04
ford,215007312,271,1079834394503685242_215007312,13661,2015-10-03 01:11:33.019000,2015-09-22 18:25:12
ford,215007312,271,1079834394503685242_215007312,13661,2015-10-03 01:13:00.420000,2015-09-22 18:25:12
